Date,Crop,Soil Moisture,Humidity,Temperature,Irrigation Needed
2023-09-25,Sugarcane,76.0842066565261,50.1949588026731,11.786156377808744,0
2024-04-20,Rice,49.244368028087344,52.118443515196006,24.264438898110512,0
2023-03-11,Sugarcane,17.64988176323152,84.18441104186037,33.2930514248157,1
2024-07-06,Pea,22.084069836205316,70.77614270439442,28.807725537532974,1
2024-09-15,Wheat,12.493363710709396,87.46847078093575,25.43487790903505,1
2024-01-02,Pea,35.25927688630573,41.866145104745215,29.530742400870924,0
2023-08-03,Pea,46.95806412320295,66.61258935478423,30.645904718580045,0
2024-08-28,Pea,48.36988425148471,70.81704193996495,26.218382099988155,0
2024-05-20,Barley,11.287580676518038,70.8794592636574,33.49234257828736,1
2024-06-30,Sugarcane,35.04768651563968,31.048778309688508,14.826437270979085,0
2023-02-18,Wheat,60.87870317948003,82.434542431652,15.8907960282949,0
2023-11-03,Sugarcane,64.11412937059853,46.67886301291431,13.192845904578695,0
2023-08-15,Pea,64.06537285939257,37.86187532199073,11.332159924160583,0
2024-01-26,Wheat,25.758119191923193,76.89956710692368,39.77761532872501,1
2024-05-19,Sugarcane,45.79798438696281,78.26501146626632,32.0347764910063,0
2023-05-27,Rice,12.094761279432038,86.35320249391364,23.887934994097396,1
2024-01-18,Barley,53.69695918586321,45.14437956804729,13.251833212921483,0
2024-07-02,Barley,28.840093889175794,34.15669675332977,19.47935344796919,1
2023-09-11,Pea,64.63707176125874,88.45787484145902,37.1082765893147,0
2024-09-13,Wheat,38.39932296758448,82.0107792572721,11.09930515950875,0
2024-03-02,Pea,14.90416812298729,46.547031567294184,34.96113775595761,1
2023-12-30,Pea,31.280273736206407,34.56733028177175,24.790725505187087,0
2023-08-17,Barley,13.652021047789827,43.08766078333911,32.55739854713181,1
2024-03-17,Pea,45.85958208445118,81.81061043216403,12.36652699977273,0
2024-01-04,Rice,36.162893880976206,68.53668517758538,39.1782765784946,0
2023-10-23,Rice,67.4028260392061,57.07789103017933,30.51218207113121,0
2024-06-02,Pea,73.6170097786505,83.20247542944989,31.25509812139224,0
2024-04-22,Barley,39.422350315133315,54.57037311769389,29.831135549810362,0
2023-03-11,Barley,26.936871179898258,59.83180802700939,28.743414377490325,1
2023-06-06,Rice,11.955344048710433,41.31907110236034,20.692881808258676,1
2023-11-03,Wheat,11.086718912958059,54.07401999531821,17.658746297140848,1
2024-11-13,Rice,48.671834595928175,77.06150760171602,21.574671285412304,0
2023-08-12,Barley,58.66922465231028,71.40484132086951,16.23657168450264,0
2023-03-06,Wheat,25.87985268128091,57.32336825457506,12.133006494184356,1
2023-11-15,Wheat,48.455517467604324,48.46769176549018,33.532846281459044,0
2023-09-29,Barley,10.034538275762703,65.57928117613193,28.091323544900924,1
2024-03-27,Barley,33.287036669882475,76.19390982571022,29.329547150525162,0
2024-10-16,Sugarcane,32.58841991866476,73.16440887958683,23.92288046767034,0
2024-08-19,Wheat,58.158689653367325,32.47157336782592,35.03123450234133,0
2024-04-22,Rice,11.410464413512836,57.14112294947351,19.393047666452965,1
2024-02-21,Sugarcane,50.94197373535984,47.60937316652515,13.117988901238704,0
2023-09-23,Rice,71.42446674419861,84.49295439736107,37.32458478530885,0
2024-08-06,Sugarcane,30.285639744700003,48.83429753427969,27.640052967880823,0
2023-02-26,Wheat,79.9654831152752,38.80324038322252,30.449589936215954,0
2024-03-23,Barley,64.5096602994362,38.38397754429856,11.776313422228146,0
2023-09-06,Barley,62.12973184161251,58.96921745996825,22.458542799668212,0
2024-09-09,Sugarcane,75.55331029346131,38.264189486993814,35.105322119509324,0
2023-08-08,Barley,18.752431544023757,69.37408708876805,28.83430778569928,1
2023-05-18,Wheat,36.973124885564204,64.14177943703561,26.946123426852026,0
2024-05-05,Wheat,26.51447362696094,34.63818488841467,30.319175928370377,1
2024-07-20,Rice,55.72798525356736,41.10032219608619,27.91613295861566,0
2024-12-03,Barley,35.35645242496612,33.39775996836314,10.09670977637304,0
2023-06-27,Rice,31.254837780493325,50.92956876676227,38.6474655310169,0
2024-02-02,Pea,51.09043765026698,72.83859490025506,32.88610784153143,0
2023-11-25,Pea,38.79704381114814,59.45410552223038,14.988866763561848,0
2024-12-29,Rice,10.539951509061698,81.65602776418446,14.334303040120812,1
2023-04-12,Barley,42.10186194908325,32.8554599668587,25.603282999274292,0
2024-05-28,Pea,14.391202102288252,39.25677274222852,22.246557167998134,1
2024-11-02,Pea,73.25697817199244,50.86241320657014,12.178700472019052,0
2024-05-21,Barley,21.79472906715136,48.336064690542884,24.35416092723109,1
2024-04-12,Wheat,36.297157168408184,57.072319334023895,30.77623206409089,0
2023-05-17,Sugarcane,38.846120814331634,84.86118298284939,33.978247532690084,0
2023-04-08,Pea,42.3016698952686,59.264376277639926,11.254395760179976,0
2023-05-23,Wheat,58.95407834689458,58.20219792454485,28.745529864155664,0
2024-07-02,Sugarcane,13.256678711444266,58.505918087438,29.284255715740883,1
2023-01-16,Sugarcane,47.677562619262424,65.30643869813156,37.839493702549646,0
2023-09-06,Sugarcane,40.01666224846579,60.694592288821546,22.874862697871787,0
